adsh	tag	version	ddate	qtrs	uom	dimh	iprx	value	footnote	footlen	dimn	coreg	durp	datp	dcml
0001065280-19-000043	ContentAssetsNetCurrent	0001065280-19-000043	20171231	0	USD	0x00000000	0	4310934000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	ContentAssetsNetCurrent	0001065280-19-000043	20181231	0	USD	0x00000000	0	5151186000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	ContentLiabilitiesCurrent	0001065280-19-000043	20171231	0	USD	0x00000000	0	4173041000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	ContentLiabilitiesCurrent	0001065280-19-000043	20171231	0	USD	0xdf82668a13a8aa461cf1cd08b54cea87	0	4200000000.0000		0	1		0.0	0.0	-8
0001065280-19-000043	ContentLiabilitiesCurrent	0001065280-19-000043	20181231	0	USD	0x00000000	0	4686019000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	ContentLiabilitiesCurrent	0001065280-19-000043	20181231	0	USD	0xdf82668a13a8aa461cf1cd08b54cea87	0	4700000000.0000		0	1		0.0	0.0	-8
0001065280-19-000043	CapitalandOperatingLeasesFutureMinimumPaymentsDueinFourYears	0001065280-19-000043	20181231	0	USD	0x00000000	0	156527000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	CapitalandOperatingLeasesFutureMinimumPaymentsDueThereafter	0001065280-19-000043	20181231	0	USD	0x00000000	0	943630000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	AverageProducedContentAssetAmortizationPercentage	0001065280-19-000043	20181231	4	pure	0x00000000	0	0.9000		0	0		0.01095891	0.0	2
0001065280-19-000043	CostofServicesAmortizationofContentAssets	0001065280-19-000043	20161231	4	USD	0x00000000	0	4867450000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	CostofServicesAmortizationofContentAssets	0001065280-19-000043	20161231	4	USD	0x9b2e4847a783f42616c1138d6385c869	0	78952000.0000		0	1		0.0	0.0	-3
0001065280-19-000043	CostofServicesAmortizationofContentAssets	0001065280-19-000043	20161231	4	USD	0xf65a2df63990e798dd6a16d5918d756a	0	2337950000.0000		0	1		0.0	0.0	-3
0001065280-19-000043	CostofServicesAmortizationofContentAssets	0001065280-19-000043	20161231	4	USD	0x5131082f461ff6e9ce08f9e48d461fd5	0	2450548000.0000		0	1		0.0	0.0	-3
0001065280-19-000043	CostofServicesAmortizationofContentAssets	0001065280-19-000043	20171231	4	USD	0x00000000	0	6258474000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	CostofServicesAmortizationofContentAssets	0001065280-19-000043	20171231	4	USD	0x9b2e4847a783f42616c1138d6385c869	0	60657000.0000		0	1		0.01095891	0.0	-3
