adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks	pubfloatusd	floatdate	floataxis	floatmems
0000002178-19-000011	2178	ADAMS RESOURCES & ENERGY, INC.	5172	US	TX	HOUSTON	77027	17 S. BRIAR HOLLOW LN.		713-881-3600	US	TX	HOUSTON	77001	P O BOX 844		US	DE	741753147	ADAMS RESOURCES & ENERGY INC	19920703	2-ACC	0	1231	10-K	20181231	2018	FY	20190311	2019-03-08 19:24:00.0	0	1	ae-20181231_htm.xml	1		92505080.00	20180629		
0000002488-19-000011	2488	ADVANCED MICRO DEVICES INC	3674	US	CA	SANTA CLARA	95054	2485 AUGUSTINE DRIVE		(408) 749-4000	US	CA	SANTA CLARA	95054	2485 AUGUSTINE DRIVE		US	DE	941692300			1-LAF	1	1231	10-K	20181231	2018	FY	20190208	2019-02-08 16:44:00.0	0	1	amd-20181229.xml	1		14499999744.00	20180630		
0000002969-19-000014	2969	AIR PRODUCTS & CHEMICALS INC /DE/	2810	US	PA	ALLENTOWN	18195-1501	7201 HAMILTON BLVD		6104814911	US	PA	ALLENTOWN	18195-1501	7201 HAMILTON BLVD		US	DE	231274455			1-LAF	0	0930	10-Q	20181231	2019	Q1	20190125	2019-01-25 13:51:00.0	0	1	apd-10qx31dec2018_htm.xml	1					
0000003499-19-000004	3499	ALEXANDERS INC	6798	US	NJ	PARAMUS	07652	210 ROUTE 4 EAST		201-587-8541	US	NJ	PARAMUS	07652	210 ROUTE 4 EAST		US	DE	510100517			1-LAF	1	1231	10-K	20181231	2018	FY	20190211	2019-02-11 08:22:00.0	0	1	alx-20181231.xml	1		810094016.00	20180630		
0000003545-19-000015	3545	ALICO INC	0100	US	FL	FT. MYERS,	33913	10070 DANIELS INTERSTATE COURT STE. 100		239-226-2000	US	FL	FT. MYERS,	33913	10070 DANIELS INTERSTATE COURT STE. 100		US	FL	590906081	ALICO LAND DEVELOPMENT CO	19740219	2-ACC	0	0930	10-K/A	20180930	2018	FY	20190125	2019-01-25 16:18:00.0	0	0	alco-20180930.xml	1		89596040.00	20180329		
0000003545-19-000026	3545	ALICO INC	0100	US	FL	FT. MYERS,	33913	10070 DANIELS INTERSTATE COURT STE. 100		239-226-2000	US	FL	FT. MYERS,	33913	10070 DANIELS INTERSTATE COURT STE. 100		US	FL	590906081	ALICO LAND DEVELOPMENT CO	19740219	2-ACC	0	0930	10-Q	20181231	2019	Q1	20190211	2019-02-11 16:33:00.0	0	1	alco-20181231.xml	1					
0000003570-19-000030	3570	CHENIERE ENERGY INC	4924	US	TX	HOUSTON	77002	700 MILAM ST.	SUITE 1900	7133755000	US	TX	HOUSTON	77002	700 MILAM ST.	SUITE 1900	US	DE	954352386	BEXY COMMUNICATIONS INC	19940314	1-LAF	1	1231	10-K	20181231	2018	FY	20190226	2019-02-25 17:35:00.0	0	1	lng-20181231.xml	1		16000000000.00	20180630		
0000004127-19-000013	4127	SKYWORKS SOLUTIONS, INC.	3674	US	MA	WOBURN	01801	20 SYLVAN ROAD		6179355150	US	MA	WOBURN	01801	20 SYLVAN ROAD	20 SYLVAN ROAD	US	DE	042302115	SKYWORKS SOLUTIONS INC	20020627	1-LAF	0	0930	10-Q	20181231	2019	Q1	20190206	2019-02-05 18:02:00.0	0	1	swks-20181228.xml	1					
0000004281-19-000031	4281	ARCONIC INC.	3350	US	NY	NEW YORK	10022-4608	390 PARK AVENUE		2128362732	US	NY	NEW YORK	10022-4608	390 PARK AVENUE		US	DE	250317820	ALCOA INC.	20141003	1-LAF	1	1231	10-K	20181231	2018	FY	20190221	2019-02-21 17:25:00.0	0	1	arnc-20181231.xml	1		8000000000.00	20180630		
0000004457-19-000005	4457	AMERCO /NV/	7510	US	NV	RENO	89511	5555 KIETZKE LANE STE 100		7756886300	US	NV	RENO	89511	5555 KIETZKE LANE	SUITE 100	US	NV	880106815	AMERCO	19770926	1-LAF	0	0331	10-Q	20181231	2019	Q3	20190206	2019-02-06 16:07:00.0	0	1	uhal-20181231.xml	1					
